Sno,Author Names, Title of the Paper,Year of Published,Dataset Used,Methodology Used,Limitation of the Paper
11,Serkan Ballı; Onur Karasoy,Development of Content-Based SMS Classification Application by Using Word2Vec-Based Feature Extraction,2019,SMS Spam Collection dataset.,"Builds a Word2Vec model from SMS content and structural message properties. New features measure message distances to spam- and ham-related words. These semantic/structural features are combined with traditional classifiers including Random Forest, MLP, SVM, Logistic Regression and Naive Bayes. Random Forest achieves about 99.64% accuracy.","No explicit limitation section is given. Evaluation is restricted to one English SMS benchmark, and the method is not externally validated on newer or cross-domain spam corpora."
12,Luo GuangJun; Shah Nazir; Habib Ullah Khan; Amin Ul Haq,Spam Detection Approach for Secure Mobile Message Communication Using Machine Learning Algorithms,2020,SMS Spam Collection dataset; 70% training and 30% testing.,"Applies Logistic Regression, K-Nearest Neighbors and Decision Tree classifiers to ham/spam SMS classification. The dataset is split into training and testing sets and models are evaluated using accuracy, sensitivity and specificity. Logistic Regression reports the best performance at about 99% accuracy.","No formal limitation section is provided. The experimental scope is limited to a single SMS dataset and three classical classifiers, with no cross-dataset, multilingual or adversarial-spam validation."
13,Pradeep Kumar Roy; Jyoti Prakash Singh; Snehasish Banerjee,Deep Learning to Filter SMS Spam,2020,"UCI SMS Spam Collection benchmark: 747 spam and 4,827 non-spam messages.","Compares classical ML classifiers (SGD, Naive Bayes, Logistic Regression, Random Forest and Gradient Boosting) with deep-learning CNN and LSTM models. CNN variants use dropout and 10-fold cross-validation; the best 3-CNN + dropout + 10-fold configuration reaches 99.44% accuracy.",The authors explicitly state that the work is dependent on English-language text messages only; performance on other languages and other spam domains remains for future research.
14,Tian Xia; Xuemin Chen,A Weighted Feature Enhanced Hidden Markov Model for Spam SMS Filtering,2021,UCI SMS Spam Collection plus an additional Chinese SMS dataset for validation.,"After tokenization and stop-word removal, each word is weighted according to the difference between its distribution in spam and ham messages. Words are labeled using the sign of the weight and converted into an observation sequence for a discrete Hidden Markov Model. The method is compared with LSTM/CNN and assessed using precision, recall, F1, accuracy and AUC, with emphasis on fast training/filtering.",No dedicated limitation section is stated. The approach still depends on tokenization and word-distribution statistics and is tested mainly on the UCI benchmark plus one Chinese corpus; robustness to temporal concept drift and richer non-text spam is not established.
15,C. Oswald; Sona Elza Simon; Arnab Bhattacharya,SpotSpam: Intention Analysis-Driven SMS Spam Detection Using BERT Embeddings,2022,SMS Spam Collection benchmark dataset.,"Uses 13 predefined intention labels to capture message semantics along with textual features. Contextual embeddings are generated using pretrained NLP/BERT-family models, intention scores are computed, and supervised classifiers are used to classify messages as spam or ham. The reported accuracy is about 98.07%, with precision and recall around 0.97.","The authors note that the accuracy is not the best among existing approaches. The method relies on a fixed set of 13 intention labels and a single benchmark dataset, so broader cross-domain and concept-drift behavior remains uncertain."
16,Abdallah Ghourabi; Manar Alohaly,Enhancing Spam Message Classification and Detection Using Transformer-Based Embedding and Ensemble Learning,2023,SMS Spam Collection Dataset.,"Cleans SMS text and compares TF-IDF/word embeddings with BERT- and GPT-3-based representations. Four classifiers—SVM, KNN, CNN and LightGBM—are combined using an optimized weighted-voting ensemble. Experiments use an 80/20 train-test split and evaluate accuracy, precision, recall and F1-score; the ensemble with GPT-3 embeddings reaches about 99.91% accuracy.","The study evaluates English SMS messages only. The authors identify multilingual support as future work, so generalization to non-English spam is not demonstrated."
17,Francisco Jáñez-Martino; Rocío Alaiz-Rodríguez; Víctor González-Castro; Eduardo Fidalgo; Enrique Alegre,A Review of Spam Email Detection: Analysis of Spammer Strategies and the Dataset Shift Problem,2023,"Experimental study uses Ling-Spam, SpamAssassin, Enron-Spam, TREC07 and CSDMC; Bruce Guenter Spam Archive (2010 and 2018) is used for later/future-data testing.","Combines a literature review of spammer/adversarial strategies with an empirical dataset-shift study. Four text-classification pipelines are formed from BOW or TF-IDF with Naive Bayes or SVM, trained on historical email datasets and tested across different corpora/time periods to quantify generalization degradation.",The empirical study is centered on selected classical text models and mostly historical English email corpora. The paper shows that public datasets from the 2000-2010 era can be unrepresentative of modern spam and that performance can deteriorate severely under dataset shift.
18,Muhammad Adnan; Muhammad Osama Imam; Muhammad Furqan Javed; Iqbal Murtza,Improving Spam Email Classification Accuracy Using Ensemble Techniques: A Stacking Approach,2024,"Combined SpamAssassin (6,047 messages) and a 7,582-message subsample of Enron-Spam; merged dataset contains 13,629 emails and is balanced by oversampling.","Preprocesses subject/body text using NLTK and trains Logistic Regression, Decision Tree, Gaussian Naive Bayes, KNN and AdaBoost. Their probability outputs are stacked and passed to a Logistic Regression meta-classifier. Robustness is also checked by changing train/test sizes and base-classifier combinations; stacking achieves about 98.8% accuracy.",The authors identify the need for datasets containing image/personalized spam and emails manipulated by 'email warmer' tools. Continued evolution of spam may reduce effectiveness without new representative training data.
19,Halim Asliyuksek; Ozgur Tonkal; Ramazan Kocaoglu,A Comparative Evaluation of a Multimodal Approach for Spam Email Classification Using DistilBERT and Structural Features,2025,"Combined corpus of 81,586 emails from seven public spam datasets, including SpamAssassin variants, Enron-Spam, Ling-Spam, two Kaggle spam datasets and a spam-ham dataset used in prior Firefly-optimization research; 31,670 spam and 49,916 ham.","All corpora are normalized to label/text fields and merged, then split stratified 80/20. Class imbalance is handled with random oversampling and class-weighted loss. Classical SVM, Random Forest, Naive Bayes and Logistic Regression are compared with DistilBERT and RoBERTa. A multimodal model fuses DistilBERT semantic representations with structural text features and includes threshold tuning plus temporal robustness analysis.","All datasets are English, restricting multilingual applicability. Adversarial training was not performed because of computational/time constraints, and ambiguous phishing or legitimate marketing language remains challenging."
20,Ye Tian; Xin Dai; Zhijun Li; Hong Guo; Xiao Mao,Improving the Accuracy of Cybersecurity Spam Email Detection Using Ensemble Techniques: A Stacking Approach Machine Learning for Spam Email Detection,2025,"Two publicly available sources are integrated: Kaggle email/SMS-style classification dataset with 5,572 samples and the Enron Corpus converted to a compatible category/message structure.","Preprocessing includes cleaning, tokenization, lowercasing, stop-word removal, stemming/lemmatization and engineered length features. TF-IDF is used for textual representation, spam is oversampled to balance classes, and Naive Bayes, KNN, Logistic Regression and XGBoost are combined in a stacking framework with grid-search cross-validation and hyperparameter tuning.","The authors state that the training data are predominantly English and do not represent emerging AI-generated spam. Basic duplication-based oversampling can overfit, and ensemble models add computational cost; future work targets multilingual transfer, transformers and adversarial training."
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
